task,representation,model,seed,AUC,PR_AUC,BalAcc,Accuracy,F1,Precision_0,Recall_0,Precision_1,Recall_1,MacroF1,Precision_2,Recall_2
renewed_4y,KG,LR,0,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,0,0.614484000183524,0.9170780401986567,0.5004955401387512,0.886932136848009,0.9400713436385255,1.0,0.0009910802775024777,0.886919452546556,1.0,,,
renewed_4y,KG,LR,1,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,1,0.6072551062697298,0.9158736443414411,0.5009910802775025,0.8870443073471677,0.9401272370533326,1.0,0.0019821605550049554,0.8870189610681027,1.0,,,
renewed_4y,KG,LR,2,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,2,0.6115694268908436,0.9179142589745917,0.5009910802775025,0.8870443073471677,0.9401272370533326,1.0,0.0019821605550049554,0.8870189610681027,1.0,,,
renewed_4y,KG,LR,3,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,3,0.6170376678198767,0.917841661077813,0.5009278371710011,0.886932136848009,0.940064216910453,0.6666666666666666,0.0019821605550049554,0.8870062836624776,0.9998735137869972,,,
renewed_4y,KG,LR,4,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,4,0.6045293847906158,0.914191596695053,0.5009910802775025,0.8870443073471677,0.9401272370533326,1.0,0.0019821605550049554,0.8870189610681027,1.0,,,
renewed_4y,KG,LR,5,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,5,0.6126518931438455,0.9186077474397891,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,KG,LR,6,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,6,0.609649819973389,0.916647818762029,0.5014233773097523,0.8870443073471677,0.9401201165487304,0.75,0.002973240832507433,0.8871058242621479,0.9998735137869972,,,
renewed_4y,KG,LR,7,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,7,0.6123904590534418,0.9184689148239515,0.5009910802775025,0.8870443073471677,0.9401272370533326,1.0,0.0019821605550049554,0.8870189610681027,1.0,,,
renewed_4y,KG,LR,8,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,8,0.6078301233748278,0.9165310626967339,0.5009910802775025,0.8870443073471677,0.9401272370533326,1.0,0.0019821605550049554,0.8870189610681027,1.0,,,
renewed_4y,KG,LR,9,0.5792946958276097,0.9050129417070485,0.5003690539257485,0.8867077958496915,0.9399452967059103,0.3333333333333333,0.0009910802775024777,0.8868940754039497,0.9997470275739945,,,
renewed_4y,KG,XGB,9,0.6028373653059725,0.9152187213182582,0.5004955401387512,0.886932136848009,0.9400713436385255,1.0,0.0009910802775024777,0.886919452546556,1.0,,,
renewed_4y,TEXT,LR,0,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,0,0.5931483834961693,0.9101796415482664,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,TEXT,LR,1,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,1,0.5822570931938884,0.9060574137181211,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,TEXT,LR,2,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,2,0.5829933206755191,0.9056548080469127,0.5014866204162537,0.8871564778463265,0.9401831371149958,1.0,0.002973240832507433,0.8871184919210053,1.0,,,
renewed_4y,TEXT,LR,3,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,3,0.590403419565424,0.9091314054808934,0.5029732408325074,0.8874929893438026,0.9403508771929825,1.0,0.005946481665014866,0.8874172185430463,1.0,,,
renewed_4y,TEXT,LR,4,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,4,0.584633441951854,0.9070687203458461,0.5029732408325074,0.8874929893438026,0.9403508771929825,1.0,0.005946481665014866,0.8874172185430463,1.0,,,
renewed_4y,TEXT,LR,5,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,5,0.5951588749571588,0.9103544023878176,0.5039643211100099,0.88771733034212,0.9404627371676679,1.0,0.007928642220019821,0.8876164814191085,1.0,,,
renewed_4y,TEXT,LR,6,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,6,0.5872146883462448,0.9099044079239066,0.5029732408325074,0.8874929893438026,0.9403508771929825,1.0,0.005946481665014866,0.8874172185430463,1.0,,,
renewed_4y,TEXT,LR,7,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,7,0.5911519321301808,0.9090859247690868,0.5029732408325074,0.8874929893438026,0.9403508771929825,1.0,0.005946481665014866,0.8874172185430463,1.0,,,
